State,District,ULB Name,No. Of Applications Received,No. Of Applications not Verified,No. Of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo,No. of Commenced Toilet Photo,No. of Constructed Toilet Photo through Swachhalaya
Bihar,Araria,Araria (Nagar Parishad),2836,779,2046,1608,108,8,1,2,1184,535,11
Delhi,New Delhi,New Delhi Municipal Corporation,20,0,0,0,0,18,1,1,0,1,5
Bihar,Araria,Forbesganj (Nagar Parishad),1275,31,1147,896,294,96,0,1,109,615,5
Himachal Pradesh,Bilaspur,Bilaspur (M Cl),58,0,54,54,53,4,0,0,47,2,0
Bihar,Araria,Jogabani (NP),2076,31,2045,285,121,0,0,0,320,839,0
Himachal Pradesh,Bilaspur,Ghumarwin (M Cl),52,2,43,43,38,3,0,4,41,0,0
Himachal Pradesh,Bilaspur,Naina Devi (M Cl),14,0,9,0,0,0,1,4,4,5,0
Himachal Pradesh,Sirmaur,Nahan (M Cl),304,135,166,152,125,1,0,2,0,0,0
Himachal Pradesh,Bilaspur,Talai (NP),36,4,30,29,28,0,0,2,13,3,0
Himachal Pradesh,Sirmaur,Paonta Sahib (M Cl),319,6,304,69,68,4,1,4,68,40,0
Himachal Pradesh,Sirmaur,Rajgarh (NP),152,0,148,89,89,2,2,0,141,6,0
Andhra Pradesh,East Godavari,Amalapuram (M),520,8,236,236,236,0,0,276,238,0,0
Gujarat,Ahmedabad,Ahmadabad (M Corp.),29246,4,28064,28064,43,969,3,206,28064,11,5
Andhra Pradesh,East Godavari,Gollaprolu,1437,72,827,827,827,0,0,538,827,0,0
Andhra Pradesh,East Godavari,Kakinada (M Corp.),7207,66,4061,4061,4058,0,0,3080,4062,0,2
Andhra Pradesh,East Godavari,Mandapeta (M),593,11,309,309,308,0,0,273,309,0,0
Gujarat,Ahmedabad,Ahmadabad Cantonment (CB),0,0,0,0,0,0,0,0,0,0,0
Gujarat,Banas Kantha,Bhabhar (M),4434,3,3442,3442,0,0,0,989,3442,0,1
Andhra Pradesh,East Godavari,MUMMIDIVARAM,2888,75,1669,1669,1668,0,0,1144,1669,0,0
Gujarat,Ahmedabad,Bareja (M),2463,0,1602,1602,3,0,0,861,1602,0,0
Gujarat,Ahmedabad,Bavla (M),2550,2,1824,1824,1,0,0,724,1824,0,0
Gujarat,Banas Kantha,Deesa (M),6637,9,4774,4764,0,341,2,1511,4768,0,1
Gujarat,Banas Kantha,Dhanera (M),3637,13,1987,1987,0,0,2,1635,1989,0,3
Jharkhand,Bokaro,Chas (Nagar Parishad),6396,2,5106,5106,4734,628,0,660,5112,5,3
Andhra Pradesh,East Godavari,Peddapuram (M),1051,30,740,740,739,0,0,281,740,0,0
Gujarat,Ahmedabad,Bopal-Ghuma,295,0,295,295,0,0,0,0,295,0,0
Gujarat,Banas Kantha,Palanpur (M),6791,7,4889,4889,0,0,2,1893,4889,0,1
Jharkhand,Bokaro,Phusro (Nagar Parishad),5620,0,4877,4877,4743,441,1,301,4887,5,0
Andhra Pradesh,East Godavari,Pithapuram (M),2486,20,1242,1242,1241,0,0,1224,1243,0,0
Andhra Pradesh,East Godavari,Rajahmundry (M Corp.),1524,24,958,958,956,0,0,542,958,0,0
Andhra Pradesh,East Godavari,Ramachandrapuram (M),1928,123,1020,1020,1014,0,0,785,1020,0,2
Jharkhand,Dumka,Basukinath (NP),2247,15,2073,2073,1752,10,0,149,2073,0,1
Gujarat,Ahmedabad,Dhandhuka (M),2600,7,2181,2181,6,0,3,409,2185,0,1
Gujarat,Banas Kantha,Thara (M),2868,1,2486,2486,0,0,0,381,2486,0,1
Gujarat,Banas Kantha,Tharad (M),3168,13,3040,3040,0,0,1,114,3047,1,3
Andhra Pradesh,East Godavari,Samalkot (M),1651,28,1024,1024,1022,0,0,599,1024,0,0
Andhra Pradesh,East Godavari,Tuni (M),637,23,366,366,366,0,0,248,366,1,0
Andhra Pradesh,East Godavari,Yeleswaram,2746,96,1537,1537,1537,0,0,1113,1537,0,0
Jharkhand,Dumka,Dumka (Nagar Parishad),1668,10,1382,1382,1372,225,1,50,1384,1,0
Gujarat,Ahmedabad,Dholka (M),3022,2,2786,2786,0,147,0,87,2786,0,0
Gujarat,Ahmedabad,Sanand (M),595,3,472,472,0,0,0,120,472,0,0
Jharkhand,Hazaribag,Hazaribag (Nagar Parishad),3728,28,2578,2578,2525,716,2,404,2597,6,5
Gujarat,Ahmedabad,Viramgam (M),4136,1,4088,4088,0,33,0,14,4088,0,0
Jharkhand,Latehar,Latehar (NP),1766,1,1689,1689,739,55,0,21,1713,1,7
Jharkhand,Godda,Godda (NP),2409,12,2232,2232,2228,63,2,100,2229,6,7
Jharkhand,Palamu,Bishrampur (NP),6534,2,5344,5344,3212,633,1,554,5403,0,3
Jharkhand,Palamu,Hussainabad (NP),2130,17,1991,1991,1978,120,1,1,1992,0,4
Jharkhand,Palamu,Medininagar (Daltonganj) (Nagar Parishad),3296,3,2591,2591,1008,550,1,151,2591,0,7
Jharkhand,Ranchi,Bundu (NP),1842,1,1629,1629,1617,113,0,99,1630,0,4
Jharkhand,Ranchi,Ranchi (M Corp.),37913,21,31705,31705,30055,2402,3,3782,31705,1,4
Jharkhand,Simdega,Simdega (NP),2139,0,2014,2014,1854,24,0,101,2014,3,0
Jharkhand,Paschimi Sighbhum,Chaibasa (Nagar Parishad),2438,2,2239,2239,2226,196,1,0,2239,3,1
Jharkhand,Paschimi Sighbhum,Chakardharpur (Nagar Parishad),3067,2,2898,2898,2287,163,0,4,2898,10,0
West Bengal,Uttar Dinajpur,Dalkhola (M),17,11,0,0,0,0,2,4,1,1,1
West Bengal,Uttar Dinajpur,Islampur (M),78,63,0,0,0,0,2,13,10,0,5
West Bengal,Uttar Dinajpur,Kaliaganj (M),160,30,0,0,0,0,0,130,3,0,0
West Bengal,Uttar Dinajpur,Raiganj (M),241,206,0,0,0,0,4,31,5,1,1
Jammu & Kashmir,Udhampur,Chenani (MC),113,0,78,78,55,13,0,22,78,0,0
Jammu & Kashmir,Udhampur,Kud (MC),0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Udhampur,Ram Nagar (MC),496,0,475,475,353,6,0,15,195,88,0
Jammu & Kashmir,Udhampur,Udhampur (M Cl),570,121,438,438,40,11,0,0,284,0,0
Jammu & Kashmir,Srinagar,Anantnag (M Cl),4949,1016,2753,2750,790,1172,5,3,520,112,0
Jammu & Kashmir,Srinagar,Badami Bagh (CB),0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Srinagar,Srinagar (M Corp.),19193,13704,4788,4043,44,699,2,0,5,6,2
Jharkhand,Khunti,Khunti (NP),2345,2,2218,2218,2172,1,1,123,2220,1,1
Haryana,Karnal,Assandh (MC),1263,29,574,294,290,644,1,15,136,110,1
Haryana,Karnal,Gharaunda (MC),312,1,308,308,193,0,0,3,308,0,0
Haryana,Karnal,Indri (MC),365,13,291,291,246,54,0,7,224,1,0
Haryana,Karnal,Karnal (M Cl),6148,73,5221,5221,4922,796,0,58,5679,1,0
Haryana,Karnal,Nilokheri (MC),478,23,425,425,415,25,0,5,328,97,0
Haryana,Mahendragarh,Ateli (MC),78,0,75,75,69,3,0,0,60,0,0
Haryana,Karnal,Nissing (MC),565,53,186,180,171,324,0,2,171,2,0
Haryana,Karnal,Taraori (MC),1032,15,359,322,321,657,1,0,161,1,1
Haryana,Mahendragarh,Kanina (MC),137,62,70,70,40,2,1,2,77,1,0
Haryana,Mahendragarh,Mahendragarh (MC),860,126,392,371,276,339,0,3,50,97,4
Haryana,Mahendragarh,Nangal Chaudhary,838,432,403,401,329,1,1,1,318,4,4
Haryana,Mahendragarh,Narnaul (M Cl),899,168,474,468,467,250,4,3,409,2,0
Haryana,Mewat,Ferozepur jhirka (MC),972,1,472,432,390,491,1,7,334,0,3
Haryana,Mewat,Nuh (MC),270,38,94,94,94,107,1,30,25,1,4
Haryana,Mewat,Punahana (MC),480,160,317,317,312,0,0,3,191,0,3
Haryana,Mewat,Taoru (MC),373,3,263,263,263,101,1,5,293,1,0
Jharkhand,Pakaur,Pakur (TP),2629,3,2387,2387,2206,187,0,52,2387,0,1
Chandigarh,Chandigarh,Chandigarh (M Corp.),6120,3,6117,6117,0,0,0,0,6117,0,2
Dadra & Nagar Haveli,Dadara and Nagar Haveli,Silvassa (M CI),1527,0,1039,1039,998,320,0,168,1040,0,0
Jammu & Kashmir,Ramban,Banihal (MC),205,0,166,166,166,16,1,22,165,1,0
Jammu & Kashmir,Ramban,Batote (MC),361,0,123,123,0,209,0,29,60,1,0
Jammu & Kashmir,Ramban,Ramban (MC),116,0,48,48,41,8,0,60,47,1,15
Assam,Udalguri,Tangla (TC),146,34,0,0,0,0,0,112,1,0,0
Assam,Udalguri,Udalguri (TC),1017,377,87,86,0,0,1,552,97,0,0
Assam,Tinsukia,Chapakhowa,82,24,55,0,0,3,0,0,0,0,0
Assam,Tinsukia,Digboi (TC),1,1,0,0,0,0,0,0,0,0,0
Assam,Tinsukia,Doom Dooma (TC),97,16,81,0,0,0,0,0,0,1,0
Assam,Tinsukia,Makum (TC),122,122,0,0,0,0,0,0,1,3,1
Assam,Tinsukia,Margherita (TC),11,11,0,0,0,0,0,0,0,0,0
Assam,Tinsukia,Tinsukia (MB),28,28,0,0,0,0,0,0,1,0,0
Assam,Sonitpur,Biswanath Chariali (TC),81,54,8,0,0,0,2,17,2,0,3
Assam,Sonitpur,Dhekiajuli (MB),661,623,0,0,0,0,0,38,0,0,1
Assam,Sonitpur,Gohpur (TC),693,351,0,0,0,0,0,342,0,0,0
Assam,Sonitpur,Rangapara (TC),9,4,0,0,0,0,0,5,0,0,0
Assam,Sonitpur,Tezpur (MB),347,301,0,0,0,0,0,46,0,0,13
Assam,Sibsagar,Amguri (MB),240,184,55,48,0,0,0,1,0,0,0
Assam,Sibsagar,Demow(TC),18,18,0,0,0,0,0,0,0,0,0
Assam,Sibsagar,Moranhat (TC),4,4,0,0,0,0,0,0,0,0,0
Assam,Sibsagar,Nazira (MB),476,475,0,0,0,0,0,1,0,0,0
Assam,Sibsagar,Sibsagar (MB),907,829,50,10,0,26,0,2,36,1,0
Assam,Sibsagar,Simaluguri (TC),332,332,0,0,0,0,0,0,0,0,0
Assam,Sibsagar,Sonari (MB),5,3,0,0,0,0,0,2,0,0,0
Assam,North Lakhimpur,Bihpuria (TC),242,241,0,0,0,0,0,1,0,0,0
Assam,North Lakhimpur,Dhakuakhana (TC),536,81,449,163,0,0,0,6,44,3,1
Assam,North Lakhimpur,Narayanpur (TC),10,9,0,0,0,0,0,1,0,0,1
Assam,North Lakhimpur,North Lakhimpur (MB),1491,1137,339,142,0,1,3,11,1,0,2
Assam,Nalbari,Nalbari (MB),730,480,240,1,0,0,0,10,1,2,0
Assam,Nalbari,Tihu (TC),118,3,0,0,0,0,0,115,0,0,0
Haryana,Yamunanagar,Jagadhri (M Cl),155,38,50,28,28,62,0,5,1,0,0
Haryana,Yamunanagar,Radaur (MC),44,3,31,31,18,10,0,0,30,0,0
Haryana,Yamunanagar,Yamunanagar (M Cl),4411,46,2946,2946,2677,814,1,604,2811,86,0
Haryana,Sonipat,Ganaur (MC),628,1,226,226,174,390,1,10,211,5,1
Haryana,Sonipat,Gohana (MC),567,208,356,354,352,1,1,1,290,0,1
Haryana,Sonipat,Kharkhoda (MC),164,9,147,124,122,8,0,0,65,0,0
Haryana,Sonipat,Sonipat (M Cl),4498,8,2305,2305,1606,2163,1,21,1927,85,5
Assam,Nagaon,Dhing (TC),11787,5234,52,51,0,0,6,6495,0,2,1
Assam,Nagaon,Doboka (TC),320,176,0,0,0,0,3,141,5,0,0
Assam,Nagaon,Hojai (MB),887,752,18,18,0,33,0,84,18,1,2
Assam,Nagaon,Kampur Town (TC),652,53,0,0,0,0,0,599,0,0,0
Assam,Nagaon,Lanka (MB),1979,690,473,431,4,1,1,814,442,4,0
Assam,Nagaon,Lumding (MB),65,53,0,0,0,0,0,12,0,3,0
Assam,Nagaon,Nagaon (MB),39355,10726,1393,91,37,2533,11,24692,6,5,4
Assam,Nagaon,Raha (TC),521,134,0,0,0,1,0,386,0,0,0
Assam,Marigaon,Marigaon (MB),3693,954,0,0,0,0,4,2735,3,1,0
Assam,Majuli,Majuli (TC),0,0,0,0,0,0,0,0,0,0,0
Haryana,Sirsa,Ellenabad (MC),37,1,8,8,7,28,0,0,8,0,0
Haryana,Sirsa,Kalanwali (MC),41,4,31,31,31,6,0,0,29,0,3
Haryana,Sirsa,Mandi Dabwali (MC),55,6,48,48,47,1,0,0,49,0,1
Haryana,Sirsa,Rania (MC),32,8,23,23,23,1,0,0,23,0,0
Haryana,Sirsa,Sirsa (M Cl),343,9,18,17,17,316,0,0,20,1,0
Assam,Kokrajhar,Gossaigaon (TC),28,19,0,0,0,0,1,8,0,0,0
Assam,Kokrajhar,Kokrajhar (MB),6,2,0,0,0,0,0,4,0,0,0
Haryana,Rohtak,Kalanaur (MC),444,8,206,206,191,10,0,220,143,64,1
Haryana,Rohtak,Maham (MC),674,31,524,505,493,117,0,2,309,0,0
Haryana,Rohtak,Rohtak (M Cl),5391,4,1906,1906,1903,3228,0,253,1900,1,0
Haryana,Rohtak,Sampla (MC),525,0,418,418,411,106,0,1,269,2,1
Assam,Karimganj,Badarpur (TC),28,11,0,0,0,0,0,17,0,0,0
Assam,Karimganj,Karimganj (MB),804,755,10,0,0,0,2,37,2,1,0
Assam,Karbi Anlong,Bakalia,4648,3738,2,0,0,3,1,904,0,0,0
Assam,Karbi Anlong,Bokajan (TC),21903,12096,0,0,0,0,1,9806,2,2,0
Assam,Karbi Anlong,Diphu (TC),8657,8257,0,0,0,0,2,398,2,1,7
Assam,Karbi Anlong,Dokmoka (TC),10686,4839,96,67,0,0,1,5750,1,1,4
Assam,Karbi Anlong,Donkamokam (TC),14721,1916,20,6,0,1317,1,11467,0,0,0
Assam,Karbi Anlong,Hamren (TC),5010,239,921,0,0,1671,4,2175,0,0,0
Assam,Karbi Anlong,Howraghat (TC),4376,13,111,72,0,2583,1,1668,1,0,0
Haryana,Rewari,Bawal (MC),186,14,131,130,130,40,0,1,72,1,0
Haryana,Rewari,Dharuhera (MC),279,0,201,201,195,66,0,12,154,0,0
Haryana,Rewari,Rewari (M Cl),567,156,401,398,391,0,5,5,235,3,3
Haryana,Palwal,Hassan Pur (MC),0,0,0,0,0,0,0,0,0,0,0
Haryana,Palwal,Hathin (MC),616,165,441,441,441,3,4,3,436,2,8
Haryana,Palwal,Hodal (MC),1837,920,509,84,84,383,5,20,47,36,15
Haryana,Palwal,Palwal (M Cl),1690,337,877,873,872,344,3,129,320,417,8
Haryana,Panchkula,Kalka (MC),0,0,0,0,0,0,0,0,0,0,0
Haryana,Panchkula,Panchkula (M Cl),8342,140,7887,7096,6821,269,36,10,7839,20,4
Haryana,Panchkula,Pinjore (MC),0,0,0,0,0,0,0,0,0,0,0
Haryana,Panipat,Panipat (M Cl),3609,542,3057,1958,962,2,1,7,1796,22,4
Haryana,Panipat,Samalkha (MC),114,12,30,30,28,47,2,23,35,1,0
Assam,Kamrup Metropolitian,Guwahati (M Corp.),11616,4836,6777,6777,1,0,3,0,282,83,27
Assam,Kamrup Metropolitian,North Guwahati (TC),9,8,0,0,0,0,0,1,0,0,0
Assam,Jorhat,Jorhat (MB),3625,3242,0,0,0,0,2,381,1,8,0
Assam,Jorhat,Mariani (TC),460,1,455,345,0,2,1,1,0,0,1
Assam,Jorhat,Teok (TC),708,702,0,0,0,0,1,5,54,0,0
Assam,Jorhat,Titabor Town (TC),1130,1025,0,0,0,0,0,105,0,0,1
Haryana,Kurushetra,Ladwa (MC),116,0,53,46,46,62,1,0,55,0,5
Haryana,Kurushetra,Pehowa (MC),226,0,103,103,77,119,1,3,95,4,1
Haryana,Kurushetra,Shahbad (MC),75,11,21,21,14,42,0,1,13,0,0
Haryana,Kurushetra,Thanesar (M Cl),125,3,38,36,36,81,0,3,27,5,10
Haryana,Kaithal,Cheeka (MC),763,1,305,305,305,457,0,0,255,0,0
Haryana,Kaithal,Kaithal (M Cl),246,67,176,175,174,2,1,0,159,11,0
Haryana,Kaithal,Kalayat (MC),1078,99,584,574,574,242,0,153,408,2,0
Haryana,Kaithal,Pundri (MC),1131,3,940,940,661,188,0,0,628,6,1
Haryana,Kaithal,Rajound,806,76,723,719,542,7,0,0,579,0,0
Haryana,Jind,Jind (M Cl),336,15,188,187,185,131,2,0,170,8,0
Haryana,Jind,Julana (MC),505,62,229,225,216,214,0,0,130,22,0
Haryana,Jind,Narwana (M Cl),363,9,72,72,72,281,0,1,70,1,2
Haryana,Jind,Safidon (MC),537,48,296,296,290,191,0,2,185,38,0
Haryana,Jind,Uchana (MC),634,2,265,265,254,365,1,1,205,3,3
Assam,Hailakandi,Hailakandi (MB),1364,1241,89,37,0,11,3,20,2,3,5
Assam,Hailakandi,Lala (TC),346,303,33,10,0,7,3,0,0,1,1
Assam,Kamrup,Palasbari (MB),321,272,0,0,0,0,2,47,0,0,0
Assam,Kamrup,Rangia (MB),63,55,0,0,0,0,0,8,0,0,2
Assam,Goalpara,Goalpara (MB),568,383,146,0,0,0,0,39,58,0,0
Assam,Goalpara,Lakhipur (TC),911,603,302,0,0,1,1,4,259,0,0
Haryana,Gurgaon,Farrukhnagar (MC),220,0,190,190,183,23,0,7,189,0,0
Haryana,Gurgaon,Gurgaon (M Corp.),5121,31,5032,4953,4713,56,0,2,4953,3,1
Haryana,Gurgaon,Hailey Mandi (MC),237,6,173,173,112,56,0,2,127,11,0
Haryana,Gurgaon,Pataudi (MC),304,33,182,180,178,89,0,0,173,10,1
Haryana,Gurgaon,Sohna (MC),401,152,195,191,180,51,2,1,200,3,0
Arunachal Pradesh,West Siang,Aalo (NT),175,0,175,0,0,0,0,0,171,0,0
Arunachal Pradesh,West Siang,Basar (NT),35,0,35,0,0,0,0,0,35,0,0
Assam,Golaghat,Barpathar (TC),1333,926,137,136,0,1,0,269,1,0,0
Assam,Golaghat,Bokakhat (TC),17707,9762,139,0,0,4446,0,3360,2,0,0
Assam,Golaghat,Dergaon (MB),3876,2214,0,0,0,0,0,1662,0,0,0
Assam,Golaghat,Golaghat (MB),35475,26347,42,35,1,1635,0,7451,7,20,0
Assam,Golaghat,Sarupathar (TC),7165,3802,0,0,0,0,0,3363,57,0,0
Haryana,Jhajjar,Bahadurgarh (M Cl),739,2,258,254,253,318,1,160,250,0,0
Haryana,Jhajjar,Beri (MC),454,92,360,335,328,1,1,0,196,0,0
Haryana,Jhajjar,Jhajjar (MC),729,15,428,360,291,273,1,12,161,2,1
West Bengal,South 24 Paragnas,Baruipur (M),6427,2498,35,2,0,0,4,3890,12,0,1
West Bengal,South 24 Paragnas,Budge Budge (M),490,480,0,0,0,0,0,10,0,0,0
West Bengal,South 24 Paragnas,Diamond Harbour (M),473,211,0,0,0,0,1,261,4,2,1
West Bengal,South 24 Paragnas,Jaynagar Mazilpur (M),10105,5523,0,0,0,0,1,4581,53,60,0
West Bengal,South 24 Paragnas,Maheshtala (M),270,257,0,0,0,0,2,11,0,1,0
West Bengal,South 24 Paragnas,Pujali (M),2387,2298,0,0,0,0,1,88,33,0,0
West Bengal,South 24 Paragnas,Rajpur Sonarpur (M),720,237,0,0,0,0,1,482,3,0,2
Haryana,Hisar,Barwala (MC),3520,2286,1076,1076,647,157,1,0,729,2,0
Haryana,Hisar,Hansi (M Cl),888,25,223,223,223,639,1,0,215,0,1
Haryana,Hisar,Hisar (M Cl),2525,3,893,893,300,1627,1,1,841,13,1
Haryana,Hisar,Narnaund (MC),1135,2,526,525,253,607,0,0,374,1,0
Haryana,Hisar,Uklana,426,20,103,81,81,218,0,85,50,0,69
Jharkhand,Deoghar,Deoghar (M Corp.),11714,22,10534,10534,9522,745,5,408,10539,2,4
Jharkhand,Deoghar,Madhupur (Nagar Parishad),4037,2,3486,3486,3470,144,0,405,3488,0,1
Assam,Dima Hassao,Haflong (TC),843,478,1,1,0,0,0,364,42,1,0
Assam,Dima Hassao,Mahur (TC),177,0,175,1,0,0,0,2,0,0,0
Assam,Dima Hassao,Maibong (TC),18,15,0,0,0,0,0,3,2,0,0
Assam,Dima Hassao,Umrangso (TC),1594,670,584,0,0,4,0,336,0,0,0
Haryana,Fatehabad,Bhuna,69,0,24,24,23,45,0,0,13,0,1
Haryana,Fatehabad,Fatehabad (M Cl),74,1,53,53,53,20,0,0,50,0,0
Haryana,Fatehabad,Ratia (MC),199,40,32,32,32,124,3,0,35,0,5
Haryana,Fatehabad,Tohana (M Cl),224,8,207,206,200,8,0,1,203,1,0
Arunachal Pradesh,West Kameng,Bomdila (NT),2,2,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,West Kameng,Dirang (NT),0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Upper Subansari,Daporijo (NT),111,0,111,111,111,0,0,0,111,0,0
Arunachal Pradesh,Upper Subansari,DUMPORIJO,0,0,0,0,0,0,0,0,0,0,0
Assam,Dibrugarh,Chabua (TC),6,3,0,0,0,0,0,3,0,0,0
Assam,Dibrugarh,Dibrugarh (MB),2108,1008,1070,418,0,30,0,0,0,0,0
Assam,Dibrugarh,Naharkatiya (TC),676,521,152,93,0,2,1,0,0,1,0
Assam,Dibrugarh,Namrup(TC),223,223,0,0,0,0,0,0,0,0,0
Haryana,Faridabad,Faridabad (M Corp.),18953,2558,14297,14297,13497,2075,15,8,10137,40,13
Haryana,Bhiwani,Bawani khera (MC),967,0,261,261,149,702,4,0,274,4,4
Haryana,Bhiwani,Bhiwani (M Cl),620,266,353,352,58,1,0,0,415,0,1
Haryana,Bhiwani,Charkhi Dadri (MC),576,10,397,394,234,168,0,1,333,79,2
Haryana,Bhiwani,Loharu (MC),680,0,284,284,280,396,0,0,164,27,1
Haryana,Bhiwani,Siwani (MC),510,47,420,420,418,43,0,0,135,0,1
Arunachal Pradesh,Upper Siang,MARIYANG,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Upper Siang,Yingkiong (NT),48,0,47,0,0,1,0,0,48,0,0
Assam,Dhemaji,Dhemaji (TC),1797,1452,340,66,0,0,1,4,3,0,0
Assam,Dhemaji,Silapathar (TC),295,295,0,0,0,0,0,0,0,0,0
Assam,Dhubri,Bilasipara (TC),4444,3662,779,4,0,1,2,0,365,137,0
Assam,Dhubri,Chapar (TC),1086,0,363,242,0,0,0,723,0,0,0
Assam,Dhubri,Dhubri (MB),4180,4090,0,0,0,0,3,87,4,0,1
Assam,Dhubri,Gauripur (TC),303,291,0,0,0,0,0,12,0,0,0
Assam,Dhubri,Sapatgram (TC),1024,1024,0,0,0,0,0,0,0,205,1
Haryana,Ambala,Ambala Cantt. (CB),121,116,0,0,0,0,2,3,2,0,0
Haryana,Ambala,Ambala Sadar (M Cl),0,0,0,0,0,0,0,0,0,0,0
Haryana,Ambala,Barara,800,13,334,333,331,453,0,0,319,0,1
Haryana,Ambala,Municipal Corporation Ambala,6579,285,4740,4740,4349,1248,1,305,4745,3,0
Haryana,Ambala,Naraingarh (MC),207,0,96,96,94,111,0,0,94,0,0
Arunachal Pradesh,Siang,PANGIN,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Papum Pare,DOIMUKH,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Papum Pare,Itanagar (NT),112,1,93,0,0,18,0,0,77,1,0
Arunachal Pradesh,Papum Pare,KIMIN,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Papum Pare,Naharlagun (NT),0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Papum Pare,Sagalee (NT),11,0,10,10,10,1,0,0,10,0,0
Assam,Darrang,Kharupatia (TC),497,377,110,110,0,0,1,9,48,38,0
Assam,Darrang,Mangaldoi (MB),104,30,49,0,0,0,0,25,0,0,0
Assam,Cachar,Lakhipur (MB),281,280,0,0,0,0,0,1,0,0,0
Assam,Cachar,Silchar (MB),2438,2281,154,7,0,0,1,2,0,0,0
Assam,Cachar,Sonai (TC),1,1,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Tawang,Tawang (NT),104,12,92,92,91,0,0,0,92,0,0
Karnataka,Yadgir,Bhimarayanagudi (NAC),0,0,0,0,0,0,0,0,0,0,0
Karnataka,Yadgir,Gurmatkal (TP),962,76,885,885,797,0,1,0,252,12,0
Karnataka,Yadgir,Kakkera TMC,1104,4,1090,619,583,8,1,1,134,40,0
Karnataka,Yadgir,Kembhavi TMC,1898,0,1791,1781,1760,107,0,0,124,69,0
Karnataka,Yadgir,Shahpur (TMC),3304,708,2520,2405,1537,0,0,76,949,145,0
Karnataka,Yadgir,Shorapur (TMC),2642,297,2282,2279,1492,50,8,5,828,198,0
Karnataka,Yadgir,Yadgiri (CMC),3633,1919,1712,1222,1116,1,0,1,617,23,0
Arunachal Pradesh,Tirap,Deomali (NT),51,50,0,0,0,1,0,0,51,0,0
Arunachal Pradesh,Tirap,Khonsa (NT),126,71,54,54,54,1,0,0,126,0,0
Arunachal Pradesh,Tirap,Longding,145,45,100,0,0,0,0,0,145,0,0
Karnataka,Uttara Kannada,Ankola (TP),385,0,362,342,335,4,0,19,307,23,0
Karnataka,Uttara Kannada,Bhatkal (TMC),181,0,142,142,77,34,0,5,142,0,0
Karnataka,Uttara Kannada,Dandeli (CMC),1785,2,1704,1620,1468,79,0,0,430,269,0
Karnataka,Uttara Kannada,Haliyal (TP),648,0,646,618,513,1,0,1,460,75,0
Karnataka,Uttara Kannada,Honavar (TP),421,1,377,377,335,9,0,34,150,15,0
Karnataka,Uttara Kannada,Jaali (TP),287,0,138,138,137,149,0,0,8,123,0
Karnataka,Uttara Kannada,Karwar (CMC),1271,1,1157,1157,1147,30,0,83,900,168,0
Karnataka,Uttara Kannada,Kumta (TMC),885,16,795,720,446,74,0,0,364,167,0
Karnataka,Uttara Kannada,Mundgod (TP),900,4,846,839,795,50,0,0,748,22,0
Karnataka,Uttara Kannada,Siddapur (TP),630,56,516,507,413,0,0,58,359,100,0
Karnataka,Uttara Kannada,Sirsi (CMC),1020,0,950,950,804,25,0,45,951,0,0
Karnataka,Uttara Kannada,Yellapur (TP),606,0,545,545,286,56,0,5,381,31,0
Arunachal Pradesh,Lower Subansari,RAGA,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Lower Subansari,Ziro (NT),286,278,8,0,0,0,0,0,54,0,0
Karnataka,Tumkur,Chiknayakanhalli (TMC),936,0,744,744,723,14,0,178,545,32,0
Karnataka,Tumkur,Gubbi (TP),894,3,682,682,591,10,0,199,356,59,0
Karnataka,Tumkur,Koratagere (TP),492,1,386,386,374,8,0,97,227,62,0
Karnataka,Tumkur,Kunigal (TMC),1467,0,1430,1430,1374,37,0,0,1107,4,0
Karnataka,Tumkur,Madhugiri (TMC),1070,0,821,821,749,33,0,216,657,45,0
Karnataka,Tumkur,Pavagada (TMC),1590,2,1302,1302,1129,77,0,209,504,92,0
Karnataka,Tumkur,Sira (CMC),2861,7,1707,1693,1593,206,0,941,1560,49,0
Karnataka,Tumkur,Tiptur (CMC),1443,0,724,724,622,245,0,474,725,0,0
Karnataka,Tumkur,Tumkur (CMC),3781,114,1693,1693,573,1508,0,466,1678,79,0
Karnataka,Tumkur,Turuvekere (TP),420,0,219,219,194,11,0,190,142,27,0
Assam,Bongaigaon,Abhayapuri (TC),433,257,168,165,0,0,0,8,1,0,1
Assam,Bongaigaon,Bongaigaon (MB),768,40,710,120,0,15,0,3,51,17,0
Assam,Bongaigaon,Kajalgaon (TC),0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Lower Dibang Valley,Roing (NT),683,8,653,526,405,21,0,1,525,1,0
