State,District,ULB Name,No. Of Applications Received,No. Of Applications not Verified,No. Of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo,No. of Commenced Toilet Photo,No. of Constructed Toilet Photo through Swachhalaya
Bihar,Kishanganj,Bahadurganj (NP),4556,832,3699,3688,2556,22,2,1,336,1257,1
Bihar,Kishanganj,Kishanganj (Nagar Parishad),7375,2880,4446,3444,1620,37,8,4,2105,1456,1
Bihar,Kishanganj,Thakurganj (NP),618,158,426,408,131,34,0,0,150,271,0
Bihar,Katihar,Katihar (M Corp.),10717,1648,8890,5552,3639,136,5,38,47,4244,6
Bihar,Katihar,Manihari (NP),4010,37,3936,3875,3434,35,2,0,261,1559,1
Bihar,Kaimur(Bhabua),Bhabua (Nagar Parishad),1086,41,1031,938,656,10,3,1,513,93,11
Bihar,Kaimur(Bhabua),Mohania,1500,62,1005,994,208,417,2,14,644,404,11
Bihar,Jehanabad,Jehanabad (Nagar Parishad),4328,1785,2512,1744,1122,17,2,12,291,1398,3
Bihar,Jehanabad,Makhdumpur (NP),2074,29,2034,2014,505,5,1,5,385,660,2
Bihar,Jamui,Jamui (Nagar Parishad),6962,1578,5307,5233,659,25,0,52,2249,2293,4
Bihar,Jamui,Jhajha (NP),1187,335,850,824,550,0,0,2,370,520,1
Delhi,West,South DMC (W) - West Zone,33,2,4,4,4,25,1,1,4,1,3
Bihar,Gopalganj,Barauli (NP),1413,21,1387,908,9,4,1,0,92,370,0
Bihar,Gopalganj,Gopalganj (Nagar Parishad),2063,29,1997,1175,214,33,2,2,652,438,3
Bihar,Gopalganj,Kataiya (NP),1808,260,1499,1097,329,9,0,40,385,739,0
Bihar,Gopalganj,Mirganj (NP),1311,30,1276,1173,470,1,1,3,295,322,1
Daman & Diu,Diu,Diu (M CI),682,4,375,375,272,292,0,11,375,1,1
Delhi,South West,Delhi Cantonment (CB),4,0,0,0,0,4,0,0,0,0,1
Delhi,South West,South DMC (SW) - Najafgarh Zone,2311,34,229,229,228,2029,5,14,230,4,16
Delhi,South,South DMC (S) - South & Central Zones,1108,12,150,150,19,939,3,4,157,6,1
Bihar,Darbhanga,Benipur (Nagar Parishad),6266,3235,2976,2197,1275,38,3,14,400,1749,2
Bihar,Darbhanga,Darbhanga (M Corp.),5221,304,4533,4533,1176,376,5,3,2660,1987,26
Daman & Diu,Daman,Daman (M CI),415,1,294,294,287,10,2,108,296,0,0
Delhi,North West,North DMC (NW)- Narela & Rohini Zones,10183,97,303,303,292,9728,24,31,56,16,21
Delhi,North,North DMC(N)- Civil Lines Zone,169,1,5,0,0,160,2,1,21,13,5
Bihar,Buxar,Buxar (Nagar Parishad),2320,1,2271,1526,790,48,0,0,995,468,4
Bihar,Buxar,Dumraon (Nagar Parishad),1968,6,1935,1754,127,23,3,1,1181,406,8
Delhi,East,East DMC(E)- Shadara North & South Zones,59,8,17,0,0,34,0,0,3,0,1
Bihar,Bhagalpur,Bhagalpur (M Corp.),5990,408,5525,5245,3456,24,3,30,4211,1010,8
Bihar,Bhagalpur,Colgong (NP),793,138,653,640,622,1,0,1,313,160,0
Bihar,Bhagalpur,Kahalgaon,74,73,0,0,0,0,1,0,15,0,3
Bihar,Bhagalpur,Naugachhia (NP),4779,321,4324,4144,2993,121,6,7,478,748,12
Bihar,Bhagalpur,Sultanganj (Nagar Parishad),4737,537,4115,3217,2656,85,0,0,1168,1753,12
Delhi,Central,"North DMC(C)- SadarPaharganj,KarolBagh &City Zones",14,6,2,1,0,5,1,0,1,0,2
Bihar,Begusarai,Bakhri (NP),7575,2920,4204,3682,826,6,8,437,1084,1700,2
Bihar,Begusarai,Balia (NP),5951,626,4974,4240,2455,346,4,1,2364,121,4
Bihar,Begusarai,Barauni (Nagar Parishad),89,80,2,2,2,0,2,5,2,0,0
Bihar,Begusarai,Begusarai (M Corp.),21132,1557,19368,19058,11383,97,2,108,297,5755,12
Bihar,Begusarai,Bihat (Nagar Parishad),6849,1273,4926,4747,3750,432,4,214,2395,1339,0
Bihar,Begusarai,Teghra (NP),6508,2529,2931,2710,851,42,5,1001,643,392,2
Delhi,All Delhi JJ Clusters,Delhi Slum Board,46,28,0,0,0,0,2,16,2,1,1
Bihar,Banka,Amarpur (NP),1952,859,1075,1068,786,15,1,2,787,63,1
Bihar,Banka,Banka (NP),874,28,777,670,160,63,3,3,133,239,5
Bihar,Bhojpur,Arrah (M Corp.),7968,2059,5837,5321,3142,61,9,2,1840,2085,2
Bihar,Bhojpur,Behea (NP),1316,2,1241,689,481,15,1,57,358,328,1
Bihar,Bhojpur,Jagdishpur (NP),1156,83,1060,1046,509,9,0,4,203,79,5
Bihar,Bhojpur,Koilwar (NP),1051,60,916,915,67,65,1,9,576,129,0
Bihar,Bhojpur,Piro (NP),1614,352,1080,854,301,1,0,181,327,323,3
Bihar,Bhojpur,Shahpur (NP),972,43,920,887,234,1,0,8,422,259,0
