State,District,No. Of Applications Received,No. Of Applications not Verified,No. Of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo,No. of Commenced Toilet Photo,No. of Constructed Toilet Photo through Swachhalaya
Madhya Pradesh,Guna,21895,3487,13938,13471,5806,4425,7,38,10144,39,4
Madhya Pradesh,Gwalior,34240,1696,27632,27432,2710,4703,4,205,25660,4,5
Madhya Pradesh,Harda,8208,2024,2598,2597,2359,3576,0,10,2513,0,8
Madhya Pradesh,Hoshangabad,18352,2979,10140,10104,5436,5113,4,116,9214,30,3
Madhya Pradesh,Indore,39767,609,16657,16608,6455,6293,1,16207,16406,1,1
Madhya Pradesh,Jabalpur,57091,1885,49823,48658,25572,4765,4,614,47021,18,5
Madhya Pradesh,Jhabua,5523,1405,2374,2239,1063,1743,1,0,2222,1,3
Madhya Pradesh,Khandwa,15823,2650,9784,8950,7630,3353,3,33,8440,2,14
Madhya Pradesh,Khargaon,11411,2053,8603,8603,3833,274,2,479,8363,2,2
Madhya Pradesh,Mandla,9945,358,5688,5464,2382,3883,1,15,4922,6,1
Madhya Pradesh,Mandsaur,12227,455,8331,8256,5211,3410,1,30,7050,108,4
Madhya Pradesh,Morena,49277,22319,11328,11085,7456,14835,3,792,8787,42,8
Madhya Pradesh,Murwara (Katni),7985,384,6923,6923,3710,678,0,0,2501,3,2
Madhya Pradesh,Narsimhapur,13685,4521,8490,8300,3203,670,0,4,10596,30,0
Madhya Pradesh,Neemuch,13586,559,10612,10204,3919,2090,2,323,10115,396,0
Madhya Pradesh,Panna,7822,987,6521,6255,2202,309,3,2,5795,28,1
Madhya Pradesh,Raisen,12218,1755,10282,8109,4047,152,2,27,8993,37,3
Madhya Pradesh,Rajgarh,15041,1699,12564,11812,4352,368,4,406,9835,19,4
Madhya Pradesh,Ratlam,10198,1332,7902,7902,3530,743,2,219,7149,36,10
Madhya Pradesh,Rewa,20584,3059,14318,13291,7989,1929,24,1254,13914,98,15
Madhya Pradesh,Sagar,27391,2625,20051,17006,10558,2695,48,1972,14488,932,6
Madhya Pradesh,Satna,29936,5781,23774,19968,6984,363,10,8,18903,92,11
